iter	Logloss
0	0.6832969565
1	0.6745672949
2	0.6648359821
3	0.6572702622
4	0.6497787483
5	0.6419440829
6	0.6339883511
7	0.6242813739
8	0.6147187442
9	0.6068665246
10	0.6017422034
11	0.5938286261
12	0.5868678704
13	0.5812946561
14	0.5740094251
15	0.5681981698
16	0.5610742441
17	0.5548196179
18	0.5466117921
19	0.5411436494
20	0.5343628545
21	0.5291604772
22	0.5220584833
23	0.5159505338
24	0.5106577441
25	0.504457056
26	0.4996921054
27	0.4953426629
28	0.4890968604
29	0.484723715
30	0.4787687673
31	0.4742330549
32	0.4688054927
33	0.4642636238
34	0.4605570618
35	0.4573774057
36	0.455343788
37	0.4503103244
38	0.4454380305
39	0.4418727187
40	0.4383006084
41	0.4335465733
42	0.429576784
43	0.4255892796
44	0.421485478
45	0.4181781211
46	0.4149701876
47	0.4108965639
48	0.4073572226
49	0.4041462463
50	0.4007040767
51	0.3969106457
52	0.3933391286
53	0.3900104687
54	0.3865907608
55	0.383926476
56	0.3808617994
57	0.3776353804
58	0.3738676007
59	0.3709312363
60	0.3677004685
61	0.3642377065
62	0.3612295283
63	0.3581683916
64	0.3553960427
65	0.3526470489
66	0.3500971428
67	0.3470728197
68	0.343816525
69	0.3414125207
70	0.3387493571
71	0.3354617088
72	0.3326641247
73	0.3310193276
74	0.3283475528
75	0.3266961794
76	0.3248767459
77	0.3228531364
78	0.3205765461
79	0.3185846793
80	0.3157410558
81	0.3133371998
82	0.3111284829
83	0.3084122318
84	0.3071344686
85	0.3053616038
86	0.3030252029
87	0.3005417912
88	0.298753715
89	0.2969159381
90	0.2950043896
91	0.2932609446
92	0.2913209187
93	0.2896847424
94	0.2881595695
95	0.2867722839
96	0.2851507296
97	0.2837542972
98	0.2826358746
99	0.2814824275
100	0.2802578112
101	0.278457721
102	0.2772403546
103	0.2757725982
104	0.2737623432
105	0.272200508
106	0.271210326
107	0.270072894
108	0.2686415946
109	0.2674472977
110	0.2657126707
111	0.2643235251
112	0.2627086093
113	0.2615915434
114	0.2602784
115	0.2587751737
116	0.2574878238
117	0.2555325165
118	0.2543939863
119	0.2534811887
120	0.2518853802
121	0.250241591
122	0.2488356171
123	0.2476460997
124	0.2460779228
125	0.2443632663
126	0.2434676939
127	0.2423528668
128	0.2409485908
129	0.2398738775
130	0.2381856417
131	0.2366646061
132	0.2355635711
133	0.2346381209
134	0.2333240648
135	0.2322896494
136	0.2311901593
137	0.2295385854
138	0.2286004316
139	0.2277259693
140	0.2270120294
141	0.2255398706
142	0.2240094229
143	0.2228476338
144	0.2217553104
145	0.2205694755
146	0.2195936198
147	0.2184488605
148	0.2175086426
149	0.2163916736
150	0.215563942
151	0.2145727921
152	0.2140427405
153	0.2133266668
154	0.2123625577
155	0.2114105761
156	0.2103753047
157	0.2093167895
158	0.2079705847
159	0.2068191997
160	0.2057072286
161	0.2043640981
162	0.203414296
163	0.2023379721
164	0.2015163336
165	0.2005264835
